,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptReservedNodeExchange,Grants permission to exchange a DC1 reserved node for a DC2 reserved node with no changes to the configuration,Write,,,
1,AddPartner,Grants permission to add a partner integration to a cluster,Write,,,
2,AssociateDataShareConsumer,Grants permission to associate a consumer to a datashare,Write,datashare*,,
3,AssociateDataShareConsumer,Grants permission to associate a consumer to a datashare,Write,,redshift:ConsumerArn,
4,AuthorizeClusterSecurityGroupIngress,Grants permission to add an inbound (ingress) rule to an Amazon Redshift security group,Write,securitygroup*,,
5,AuthorizeClusterSecurityGroupIngress,Grants permission to add an inbound (ingress) rule to an Amazon Redshift security group,Write,securitygroupingress-ec2securitygroup*,,
6,AuthorizeDataShare,Grants permission to authorize the specified datashare consumer to consume a datashare,Permissions management,datashare*,,
7,AuthorizeDataShare,Grants permission to authorize the specified datashare consumer to consume a datashare,Permissions management,,redshift:ConsumerIdentifier,
8,AuthorizeEndpointAccess,Grants permission to authorize endpoint related activities for redshift-managed vpc endpoint,Permissions management,,,
9,AuthorizeSnapshotAccess,Grants permission to the specified AWS account to restore a snapshot,Permissions management,snapshot*,,
10,BatchDeleteClusterSnapshots,Grants permission to delete snapshots in a batch of size upto 100,Write,snapshot*,,
11,BatchModifyClusterSnapshots,Grants permission to modify settings for a list of snapshots,Write,snapshot*,,
12,CancelQuery [permission only],Grants permission to cancel a query through the Amazon Redshift console,Write,,,
13,CancelQuerySession [permission only],Grants permission to see queries in the Amazon Redshift console,Write,,,
14,CancelResize,Grants permission to cancel a resize operation,Write,cluster*,,
15,CopyClusterSnapshot,Grants permission to copy a cluster snapshot,Write,snapshot*,,
16,CopyClusterSnapshot,Grants permission to copy a cluster snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateAuthenticationProfile,Grants permission to create an Amazon Redshift authentication profile,Write,,,
18,CreateCluster,Grants permission to create a cluster,Write,cluster*,,
19,CreateCluster,Grants permission to create a cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,CreateClusterParameterGroup,Grants permission to create an Amazon Redshift parameter group,Write,parametergroup*,,
21,CreateClusterParameterGroup,Grants permission to create an Amazon Redshift parameter group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
22,CreateClusterSecurityGroup,Grants permission to create an Amazon Redshift security group,Write,securitygroup*,,
23,CreateClusterSecurityGroup,Grants permission to create an Amazon Redshift security group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,CreateClusterSnapshot,Grants permission to create a manual snapshot of the specified cluster,Write,snapshot*,,
25,CreateClusterSnapshot,Grants permission to create a manual snapshot of the specified cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,CreateClusterSubnetGroup,Grants permission to create an Amazon Redshift subnet group,Write,subnetgroup*,,
27,CreateClusterSubnetGroup,Grants permission to create an Amazon Redshift subnet group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
28,CreateClusterUser,Grants permission to automatically create the specified Amazon Redshift user if it does not exist,Permissions management,dbuser*,,
